aDC,Adipocytes,Astrocytes,B-cells,Basophils,CD4+ memory T-cells,CD4+ naive T-cells,CD4+ T-cells,CD4+ Tcm,CD4+ Tem,CD8+ naive T-cells,CD8+ T-cells,CD8+ Tcm,CD8+ Tem,cDC,Chondrocytes,Class-switched memory B-cells,CLP,CMP,DC,Endothelial cells,Eosinophils,Epithelial cells,Erythrocytes,Fibroblasts,GMP,Hepatocytes,HSC,iDC,Keratinocytes,ly Endothelial cells,Macrophages,Macrophages M1,Macrophages M2,Mast cells,Megakaryocytes,Melanocytes,Memory B-cells,MEP,Mesangial cells,Monocytes,MPP,MSC,mv Endothelial cells,Myocytes,naive B-cells,Neurons,Neutrophils,NK cells,NKT,Osteoblast,pDC,Pericytes,Plasma cells,Platelets,Preadipocytes,pro B-cells,Sebocytes,Skeletal muscle,Smooth muscle,Tgd cells,Th1 cells,Th2 cells,Tregs,ImmuneScore,StromaScore,MicroenvironmentScore,sample,cohort
0.00682772811114557,0.000802682399642516,0,0,0.0537379712769213,0,4.82918864829196e-19,0,0.00852155231394575,1.05580386363406e-18,1.17241621418088e-19,0,0,0,3.34172938939371e-05,3.41557956967672e-19,0.00153375839036259,0,0.00127744344684672,2.38813470917024e-19,0,0,0.000333094838360559,0,0.0230103603001007,0,0.0014565663083371,0.00674749402532181,0.00367063861636336,0,0,0,0,0,0.00347836098203773,7.00193658635926e-19,0.000480802372721654,0,0.0129359814050513,0.00563171244803586,0,8.17381334616542e-19,0.0313183160528377,0,0.0219991588941782,6.2537760486388e-05,0.000490297738488635,5.04742248321149e-19,0,0.000326045011091645,4.22213458165746e-20,0,0.00339840427630134,0.00130575154158412,0,0,0,2.91204860075357e-21,0.00147560584157091,0,2.85686755087905e-19,7.16701466370063e-20,9.41086229578146e-19,0.00616334223369427,0.00231890732135849,0.0119065213498716,0.0142254286712301,GSM3758015,GSE130970
0.0599173743067292,0.000748562051877698,2.21293240583636e-19,0,0.0523146481606092,0,6.23464191079328e-19,0,0.00095124430785161,1.64842366863288e-18,0,0,1.87385831306161e-18,1.25769844666047e-17,0.0177858749968644,8.16085105840933e-18,0,6.51820202949626e-19,2.04932525088795e-18,0,3.74062008911909e-20,0,2.62350793437967e-20,0,3.54359320610088e-18,0.0261095676694471,1.07966344146342e-18,0.0175952521593673,2.38638516815805e-18,3.96935915666777e-19,1.27370867217785e-18,0.017057009964458,0.0109795705296808,0.00310728875557213,0.00163970162269637,5.62438893182498e-20,0.0003875144114597,0,0.027514431425211,6.2604562661829e-19,0,0.000378669556116272,0.0668998484207443,0.00464202187893948,0.00110391883140927,1.50941424815635e-20,0.000281613699266706,1.92449432974579e-19,6.01626200717943e-18,0,0,0,2.15364393330165e-18,0.00559711087438627,0,0,0.00187162554958765,1.41565868624023e-20,6.30769521034624e-19,0.0702159950974465,0,0.0065082171330594,0,1.52108352207843e-19,0.0124644743914363,0.000374281025938851,0.0128387554173751,GSM3758016,GSE130970
0.0407044168893033,0,0,0,0.0312195127623724,6.24296751895633e-19,0,8.15528151672684e-19,0,5.995186979118e-19,0.00059036902013156,3.86655003802973e-20,0.000444654571282644,0,0.017189132896956,0,0.0102176597598518,0.00152901035815129,0,0,0.00133052237265829,1.26412991152976e-19,0.000444769078685569,0,0,0.00904095628708826,0,0.0291919016368474,0.00584075973080405,4.52487448364524e-20,4.40729806359686e-19,0.00752401720376772,0.00564449220259345,0.00331154727991532,0.00147393438829983,0,7.07344865908744e-05,0,0.0450784466831096,2.11303251655465e-19,3.76189868896205e-18,1.94161795969087e-19,0.075999735339633,0.0076400354447682,1.53632690139416e-20,3.29816892711013e-21,0,3.34569115064736e-20,1.19505765859421e-17,0.00212642056873915,0.0167996410514408,0,0,0.0159357326586993,0,8.76630485989628e-18,2.5895115528619e-18,0,0,0.110629207416008,2.22299493927921e-18,0.0188671928592545,3.29458436784546e-18,1.13428551024893e-19,0.00599863439471171,0.000665261186329145,0.00666389558104086,GSM3758017,GSE130970
0.0715577658146367,0.000404779752817394,0,4.16951540173975e-19,0.034322454744129,0,8.94177876269258e-19,0,0.00176469265303825,0.00635451560163201,0,0,0.00079414675798697,3.38661667506808e-19,0.00881192268352454,0,0.00124786690363549,4.69140541348905e-19,0,0,0.000681400132028106,1.40642942315382e-18,0.0012728522646855,0,0.00868585661234127,0.0269067746124363,5.05923563069869e-20,0.0369518268246402,0,0,0,0.012730794455211,0.00986706237485737,0.00100833042631668,0.00157583620521549,1.42541075274923e-19,0.000838172177472527,0,0.0271612117582033,2.80758834994185e-18,5.55469741308659e-20,0,0.0645510754420717,0.00234967191447579,0.000905928985406849,0,0.000155802441179002,0,5.77814360686547e-18,5.8602076745151e-19,0.00748582478476223,0,2.64786846688355e-18,0.00618445432393998,0,0,0,2.63815012861799e-20,7.98674703890078e-19,0.0401795779833229,6.12068951761108e-19,0.00378222648383801,0.00312937283322676,0.00514727357326056,0.00953775377361763,0.00488601824859339,0.014423772022211,GSM3758018,GSE130970
0.0568917951870911,0,0,0,0.0223188430020658,0,1.81523291444028e-18,0,0.00296254393867412,0,0,6.70470469717961e-19,0.00138711875988798,7.17834152846996e-19,0.00899858780046215,0,0.00296692194611023,3.27809338378517e-19,0,0,0.00316160442048895,1.66071943416615e-18,5.92551564312636e-05,0,6.23180317490249e-19,0.0252021479650872,0,0.0646644748175841,0,6.35461195761309e-20,0,0.0111337093630841,0.010305684494068,0.000183508573095221,3.47763039737131e-21,0.000206069081908497,0.000798949965513985,7.78501576175893e-20,0.0286633009596856,0,0,0,0.0297191534806148,0.00911124685603971,0.00370648599225102,1.14774025333036e-19,7.40599531228158e-05,0,9.38168746985718e-20,0.000692062000172253,8.46662115122027e-20,0,0,0.00768877472939894,2.49487973423226e-19,5.50062715148273e-19,4.7944660951372e-18,0,9.87931358731584e-19,0.061512701583964,1.50977622360926e-18,0.000211549343242905,0.00474942038535533,0.00181453202748368,0.00742247290872272,0.00158080221024448,0.0090032751189672,GSM3758019,GSE130970
0.0485793945263307,0,0,0,0.0178733066866624,0,5.02200994981976e-20,1.05850922384497e-19,0.00171379578686666,1.79263498692127e-18,2.05925311359987e-19,0,0,1.01107188213536e-18,0.00633803657120269,3.54086339898581e-18,0,0.00290007272687872,0,4.33146099877196e-19,0.00483220033556873,0,0.00119358547328733,9.33315509811604e-21,0,0.00686965039959295,0,0.0437271983704529,0,0,9.11772180816643e-19,0.0130464323782094,0.0124135711789182,2.33978203126494e-05,0,0.000127137173990992,7.22399128617066e-05,3.86744692158062e-18,0.0360212913875434,0,2.46197571533764e-18,3.74639914140674e-18,0.0774785459388228,0.0064126153137039,0.00261202990576383,0,0,7.46766175211113e-21,0,0.00277734621925328,0.0138737893207769,1.35863817878488e-19,0,0.0103379889000304,3.20400611120647e-18,0,0,0,4.21976488594849e-19,0.0178583867582421,5.59554197621727e-18,0.0161275324338551,9.37084856996428e-20,0.000554218084470912,0.00869762158547291,0.00241610016778437,0.0111137217532573,GSM3758020,GSE130970
0.0482732466073119,2.28796674452803e-20,0,3.57083737396443e-19,0.0130282354542321,3.48114356072727e-21,4.0488015393314e-20,0,0.00808783603741734,0,1.11356720696435e-19,2.58990368157381e-20,1.33704694590146e-21,1.46649277510065e-18,0.0128096394411045,0,3.48537173150021e-18,0.000295682302859888,6.35059972227626e-19,0,0.00512705298658964,2.22498648019287e-18,0.000888936087084985,0,0.00133468977227052,0.0171309241501278,1.18835210035597e-18,0.0471916066915838,2.75842127815358e-18,0,0,0.00035620752625062,0.00137908593893048,0.00135729905037735,6.31702313325321e-05,0,0.0004018966148155,0,0.0210528812050135,0,0,1.51547265384543e-18,0.0758551530236727,0.0048329858445116,0.00122917797393655,3.26725759903233e-20,0.000352837657739072,7.97130188487963e-20,3.48005518486667e-18,0.000172104854916938,0,0,3.9392394639965e-18,0.00510694576266477,0,0,3.73665002134863e-19,0,8.68825832050528e-20,0.0553945392420657,0,0.00168358404651556,0,0.00187143993300263,0.000279585171722105,0.00323087137943008,0.00351045655115218,GSM3758021,GSE130970
0.046910005313387,7.31021863415004e-21,0,9.50462849595473e-19,0.0358730388314853,1.62277316598583e-20,0,1.2062700425106e-20,0.00768678918412566,3.4697786162865e-19,0,0,0,6.40038227197772e-18,0.00485223722209618,0,0,0.00191775663807967,0,0,0.00115861768510779,2.5990477408906e-18,0.00402941410155218,0,6.83682558841157e-18,0.00838921034695335,0,0.0235150746473305,2.34542200020067e-18,0,0,0.00092492084514761,0.000646602233285119,0.000537009730142722,0,0,0.000516374359725088,4.96869081714973e-19,0.0315622241078732,2.7119889195694e-18,2.36541914422113e-18,2.27193996971188e-18,0.0498855083037556,0.00295765527308239,0.00342809922575381,0,6.78801651412246e-05,0,0,0,0.0105141319796948,8.18644769529974e-19,3.69494855203871e-18,0.00924902323099551,0,0,0,0,5.7427420593613e-19,0.0480171868644161,1.30977942639683e-18,0.00835118929201339,0,0,0.000616613896765077,0.000579308842553898,0.00119592273931898,GSM3758022,GSE130970
0.0370460935493493,2.5587200120352e-20,0,0,0.0107631447975124,7.69426402216584e-23,0,0,0.00590453009525429,0,6.05939942066658e-20,7.35168946668166e-20,1.88731131039726e-19,5.81426618472514e-19,0.00607651595324514,9.16141444406084e-19,6.69478423255565e-19,0,4.158370066373e-19,4.13782498645195e-19,0.00438146130246982,0,0.00283303537638944,0,4.87997201488367e-18,0.017619290173511,0,0.039235036937357,0,6.55326159034535e-20,0,0.00856693770247315,0.0082116173495507,0.00196400400633257,0,0,0.000276757011629957,5.84579120842355e-18,0.0411026829952021,0,2.96293776479376e-19,1.09412077609119e-19,0.0630703132552114,0.0092584054454825,0.000813855459233292,0,0.000141104686041263,0,4.01223309084406e-18,0,0.0153693652824907,0,4.12514340825798e-19,0.00869487933357615,0,0,4.49664028558925e-18,4.19284297679173e-22,0,0.0575664900757088,3.19937427960187e-19,0.0116048571842632,1.5704147588949e-18,8.795314331259e-05,0.00571129180164877,0.00219073065123491,0.00790202245288368,GSM3758023,GSE130970
0.0283048188115665,0,1.58507546985428e-18,7.29171326370408e-19,0.0376354540266467,1.40239480311367e-19,5.13242609865152e-19,0,0.014859172032162,0,6.63883364672237e-06,4.65935869471613e-19,1.61121809663472e-19,0,0.00505080930779695,2.17688670156678e-18,0.00299837428754828,0,5.19890290505076e-20,0,2.33430406954652e-19,0,3.5402269049685e-19,0,1.01783260589627e-17,0.0117409952355971,0.000506261144922187,0.0405822178126102,9.70791958245239e-19,1.31708408090585e-19,2.62708638263321e-19,0.0035579806840688,0.00634289837235775,0,0.000966714817461041,1.56348520250004e-20,0.000226926024473995,0,0.0248028523710688,0,2.57506345418054e-18,0,0.0693756293377395,0.00277949438357616,0.00168538219884877,0,3.95367444679449e-05,3.61266483578775e-21,2.86801675266222e-20,0.00100347191644304,0,0,0.00902092492804109,0.00489665801516355,0,1.15767545570588e-18,0,4.29327183374583e-20,0,0,0,0.00240351692165788,1.07886269612219e-19,0.0037233567273006,0.00301646366768657,5.20587823295868e-18,0.00301646366768657,GSM3758024,GSE130970
0.038772100890346,5.29152595607631e-20,0,0,0.0298942709693059,0,0,0,0.00650449231073844,0,0,0,2.56955526384979e-19,1.35496499863362e-18,0.00151143871740406,0,1.10614938969546e-18,0.00017543520543434,0,0,0.000669761069021417,0,0,0,2.71447786791271e-18,0.0097568273339918,6.54035006526548e-20,0.00828365923736216,2.27033819795078e-19,0,0,0.0105221521012733,0.0105474296788641,0.00171302305539633,0.000336713870628968,5.42443632291974e-20,0.000359609205708705,3.38553137949229e-19,0.015799672131003,0,0,0.000219729626539227,0.0686757649752386,0.00386348532452439,0.00139518592655744,0,8.83837815339534e-05,0,1.09751597612638e-17,0.0104478415954944,0,6.75286298588699e-20,0,0.00662609824752183,0,0,0,3.90236297919522e-20,2.82319916748097e-19,0.0401400867697228,1.88399883844023e-18,0.00436964721955912,0,0.00488199447206991,0.0072392439812682,0.00033488053451071,0.00757412451577891,GSM3758025,GSE130970
